Sample in Buffer,Sample in Window,TRIGGER,ad_in_IBUF[7:0],FRE1_index[15:0]
953,953,0,124,100
954,954,0,124,100
955,955,0,124,100
956,956,0,124,100
957,957,0,124,100
958,958,0,124,100
959,959,0,124,100
960,960,0,124,100
961,961,0,124,100
962,962,0,124,100
963,963,0,124,100
964,964,0,124,100
965,965,0,124,100
966,966,0,124,100
967,967,0,124,100
968,968,0,124,100
969,969,0,124,100
970,970,0,124,100
971,971,0,124,100
972,972,0,124,100
973,973,0,124,100
974,974,0,124,100
975,975,0,124,100
976,976,0,124,100
977,977,0,124,100
978,978,0,124,100
979,979,0,124,100
980,980,0,124,100
981,981,0,124,100
982,982,0,124,100
983,983,0,124,100
984,984,0,124,100
985,985,0,124,100
986,986,0,124,100
987,987,0,124,100
988,988,0,124,100
989,989,0,124,100
990,990,0,124,100
991,991,0,124,100
992,992,0,124,100
993,993,0,124,100
994,994,0,124,100
995,995,0,124,100
996,996,0,124,100
997,997,0,124,100
998,998,0,124,100
999,999,0,124,100
1000,1000,0,124,100
1001,1001,0,124,100
1002,1002,0,124,100
1003,1003,0,124,100
1004,1004,0,124,100
1005,1005,0,124,100
1006,1006,0,124,100
1007,1007,0,124,100
1008,1008,0,124,100
1009,1009,0,124,100
1010,1010,0,124,100
1011,1011,0,124,100
1012,1012,0,124,100
1013,1013,0,124,100
1014,1014,0,124,100
1015,1015,0,124,100
1016,1016,0,124,100
1017,1017,0,124,100
1018,1018,0,124,100
1019,1019,0,124,100
1020,1020,0,124,100
1021,1021,0,124,100
1022,1022,0,124,100
1023,1023,0,124,100
1024,1024,1,124,100
1025,1025,0,124,100
1026,1026,0,124,100
1027,1027,0,124,100
1028,1028,0,124,100
1029,1029,0,124,100
1030,1030,0,124,100
1031,1031,0,124,100
1032,1032,0,124,100
1033,1033,0,124,100
1034,1034,0,124,100
1035,1035,0,124,100
1036,1036,0,124,100
1037,1037,0,124,100
1038,1038,0,124,100
1039,1039,0,124,100
1040,1040,0,124,100
1041,1041,0,124,100
1042,1042,0,124,100
1043,1043,0,124,100
1044,1044,0,124,100
1045,1045,0,124,100
1046,1046,0,124,100
1047,1047,0,124,100
1048,1048,0,124,100
1049,1049,0,124,100
1050,1050,0,124,100
1051,1051,0,124,100
1052,1052,0,124,100
1053,1053,0,124,100
1054,1054,0,124,100
1055,1055,0,124,100
1056,1056,0,124,100
1057,1057,0,124,100
1058,1058,0,124,100
1059,1059,0,124,100
1060,1060,0,124,100
1061,1061,0,124,100
1062,1062,0,124,100
1063,1063,0,124,100
1064,1064,0,124,100
1065,1065,0,124,100
1066,1066,0,124,100
1067,1067,0,124,100
1068,1068,0,124,100
1069,1069,0,124,100
1070,1070,0,124,100
1071,1071,0,124,100
1072,1072,0,124,100
1073,1073,0,124,100
1074,1074,0,124,100
1075,1075,0,124,100
1076,1076,0,124,100
1077,1077,0,124,100
1078,1078,0,124,100
1079,1079,0,124,100
1080,1080,0,124,100
1081,1081,0,124,100
1082,1082,0,124,100
1083,1083,0,124,100
1084,1084,0,124,100
1085,1085,0,124,100
1086,1086,0,124,100
1087,1087,0,124,100
1088,1088,0,124,100
1089,1089,0,124,100
1090,1090,0,124,100
1091,1091,0,124,100
1092,1092,0,124,100
1093,1093,0,124,100
1094,1094,0,124,100
1095,1095,0,124,100
1096,1096,0,124,100
1097,1097,0,124,100
1098,1098,0,124,100
1099,1099,0,124,100
1100,1100,0,124,100
1101,1101,0,124,100
1102,1102,0,124,100
1103,1103,0,124,100
1104,1104,0,124,100
1105,1105,0,124,100
1106,1106,0,124,100
1107,1107,0,124,100
1108,1108,0,124,100
1109,1109,0,124,100
1110,1110,0,124,100
1111,1111,0,124,100
1112,1112,0,124,100
1113,1113,0,124,100
1114,1114,0,124,100
1115,1115,0,124,100
1116,1116,0,124,100
1117,1117,0,124,100
1118,1118,0,124,100
1119,1119,0,124,100
